i,j,lag,group_i,group_j,slope,intercept,adf_p,ou_hl,fA_sharpe,fA_pnl,fB_sharpe,fB_pnl,min_fold_sharpe,combined_pnl,combined_sharpe,sharpe_x_sqrt_pnl
UV_VISOR_YELLOW,GALAXY_SOUNDS_DARK_MATTER,1,uv_visor,galaxy_sounds,1.5837356231428323,-5238.833960878167,0.0038731532410577,719.6336385023673,2.6962204026126635,3906.194411553952,1.0281404647687278,1236.2970679077152,1.0281404647687278,5142.491479461667,1.8621804336906957,133.53913215489095
PEBBLES_S,PANEL_2X4,100,pebbles,panel,-1.1002206590772288,21318.898591715264,0.0051287098294639,796.5826732213334,1.9373466109214383,2204.5752033073186,1.7263772791452907,2679.7487034990463,1.7263772791452907,4884.323906806365,1.8318619450333644,128.02505441799647
PEBBLES_S,GALAXY_SOUNDS_BLACK_HOLES,100,pebbles,galaxy_sounds,-0.76798793945877,17729.4059141757,0.001501033541008,761.4836081656716,1.5617991088433016,1797.4949442255966,2.13303475236792,2677.660821570342,1.5617991088433016,4475.155765795938,1.8474169306056107,123.58592074980291
OXYGEN_SHAKE_GARLIC,PEBBLES_S,5,oxygen_shake,pebbles,-1.0113818820013512,20960.12815840001,0.0054004872463389,764.3501056866639,2.5810195919012062,2897.1793452649217,1.0341246025259625,1310.1373141074891,1.0341246025259625,4207.316659372411,1.8075720972135843,117.24605225143681
OXYGEN_SHAKE_GARLIC,PEBBLES_S,1,oxygen_shake,pebbles,-1.0114089992229085,20959.999133310717,0.0067246606106062,763.2274914011592,2.5586944102107037,2912.9765908436857,1.0149156481979438,1272.7458602789156,1.0149156481979438,4185.722451122601,1.7868050292043236,115.60121002167546
PANEL_2X4,PEBBLES_XL,1,panel,pebbles,0.309330121132573,7174.371327549632,0.0006340665394556,585.5415365217357,1.8707030491443228,2103.503817174571,1.8409257868696272,2066.6270534948544,1.8409257868696272,4170.130870669425,1.8558144180069749,119.84209342831463
MICROCHIP_SQUARE,SLEEP_POD_SUEDE,5,microchip,sleep_pod,1.8670373395927784,-7683.937480383369,0.0112158647066942,805.6663522797999,1.5163767867936566,1178.820256134506,1.9011676706557823,2964.8965163845314,1.5163767867936566,4143.7167725190375,1.7087722287247193,109.9965867028446
MICROCHIP_SQUARE,SLEEP_POD_SUEDE,20,microchip,sleep_pod,1.864258363987241,-7650.059386742636,0.005981719126614,819.6196535039094,1.5597578203852018,1143.7134674199517,1.8711252790388937,2946.897667805919,1.5597578203852018,4090.6111352258704,1.7154415497120477,109.71601445438395
OXYGEN_SHAKE_MORNING_BREATH,PEBBLES_M,100,oxygen_shake,pebbles,-0.8108942433400526,18321.206456773343,0.0025183227568288,634.8808654068215,1.6887158498036772,1795.7104142825265,2.840947574134611,2290.836783889643,1.6887158498036772,4086.5471981721694,2.264831711969144,144.7818751002815
OXYGEN_SHAKE_GARLIC,PEBBLES_S,20,oxygen_shake,pebbles,-1.0112450440377352,20960.311151434107,0.0045240614673687,756.2426135660903,2.55838176409216,2856.225789627093,0.9388838266809836,1209.1136638194184,0.9388838266809836,4065.3394534465115,1.748632795386572,111.49285244944527
MICROCHIP_SQUARE,SLEEP_POD_SUEDE,1,microchip,sleep_pod,1.8677787000111792,-7692.96589523037,0.0058856217517749,808.3914263278023,1.5846432639934065,1168.304113452723,1.7419467121298864,2884.18676091461,1.5846432639934065,4052.490874367333,1.6632949880616463,105.88399080659813
PEBBLES_S,OXYGEN_SHAKE_GARLIC,20,pebbles,oxygen_shake,-0.7727237760193734,18145.83491576894,0.0034362422243673,705.5276816552174,1.9320630682018816,1849.5189350930104,1.6944690758386105,2200.2443265914353,1.6944690758386105,4049.7632616844458,1.813266072020246,115.39217349645122
PANEL_2X4,PEBBLES_XL,5,panel,pebbles,0.3092340069776027,7175.927154712559,0.0007298983773577,583.4038777417818,1.7520421704694291,1976.1052440392905,1.813200091669246,2050.951036415365,1.7520421704694291,4027.0562804546553,1.7826211310693374,113.12351727603686
ROBOT_IRONING,PEBBLES_M,100,robot,pebbles,-0.915306293105909,18089.46446260394,0.0051198035975138,803.1259974313233,1.4313607630465677,1601.5920551755626,1.9338388147311951,2410.265165134635,1.4313607630465677,4011.8572203101976,1.6825997888888815,106.57456391319103
PEBBLES_S,GALAXY_SOUNDS_BLACK_HOLES,20,pebbles,galaxy_sounds,-0.7690102978088632,17748.75572133899,0.0016401209060179,724.8978605156415,1.9607615552386943,2109.293232969334,1.5892074426638727,1902.2515853199168,1.5892074426638727,4011.5448182892505,1.7749844989512835,112.42176232339578
SLEEP_POD_POLYESTER,SNACKPACK_STRAWBERRY,100,sleep_pod,snackpack,2.321531567565331,-13007.664098057976,0.0016567547774376,633.7748300328939,1.7217275384860182,2585.882736646541,0.8940355321602308,1251.918940539199,0.8940355321602308,3837.80167718574,1.3078815353231246,81.02325242768536
