label,variant,ar1_alpha,log_clip,inv_beta,use_ar1,use_log,elapsed_s,F1_pnl,F2_pnl,F3_pnl,F4_pnl,F5_pnl,fold_min,fold_median,fold_mean,total_3day,sharpe_3day,max_dd_3day,dishes_day2,dishes_day3,dishes_day4,dishes_3day,gate_a,gate_b,gate_c,gate_d,gate_e,target,passed_strict,delta_fold_min,delta_fold_median,delta_mean,delta_dishes_3d,min_fold_delta,max_dd_ratio,sharpe
1b_a0.5_c3_b0.1,1b,0.5,3,0.1,True,True,196.0,461692,454504,461692,493955,461692,454504,461692,466707.0,1410150,22.3706,25194,20833,8555,14683,44071,True,True,True,True,True,True,True,8304,5434.0,5747.599999999977,17870,4132,1.0172817572478399,22.3706
1b_a1.5_c7_b0.1,1b,1.5,7,0.1,True,True,52.4,462062,454298,462062,494246,462062,454298,462062,466946.0,1410605,22.1984,25098,21124,8925,14477,44526,True,True,True,True,True,True,True,8098,5804.0,5986.599999999977,18325,4423,1.0134054752483244,22.1984
1b_a1.5_c7_b0.2,1b,1.5,7,0.2,True,True,52.3,462062,454298,462062,494262,462062,454298,462062,466949.2,1410621,22.1892,25098,21140,8925,14477,44542,True,True,True,True,True,True,True,8098,5804.0,5989.799999999988,18341,4439,1.0134054752483244,22.1892
1b_a1.0_c3_b0.1,1b,1.0,3,0.1,True,True,62.5,461888,454290,461888,493981,461888,454290,461888,466787.0,1410158,22.3113,25194,20859,8751,14469,44079,True,True,True,True,True,True,True,8090,5630.0,5827.599999999977,17878,4158,1.0172817572478399,22.3113
1b_a1.0_c3_b0.2,1b,1.0,3,0.2,True,True,64.6,461914,454290,461914,494066,461914,454290,461914,466819.6,1410269,22.2674,25194,20944,8777,14469,44190,True,True,True,True,True,True,True,8090,5656.0,5860.199999999953,17989,4243,1.0172817572478399,22.2674
1b_a1.5_c3_b0.1,1b,1.5,3,0.1,True,True,55.9,462730,454290,462730,494634,462730,454290,462730,467422.8,1411653,22.1133,25194,21512,9593,14469,45574,True,True,True,True,True,True,True,8090,6472.0,6463.399999999965,19373,4811,1.0172817572478399,22.1133
1b_a1.5_c7_b0.4,1b,1.5,7,0.4,True,True,45.4,461104,454216,461104,494369,461104,454216,461104,466379.4,1409688,21.8839,25292,21247,7967,14395,43609,True,True,True,True,True,True,True,8016,4846.0,5420.0,17408,4546,1.0212387951223452,21.8839
1b_a2.5_c3_b0.1,1b,2.5,3,0.1,True,True,52.7,463650,454192,463650,493505,463650,454192,463650,467729.4,1411346,22.9266,25194,20383,10513,14371,45267,True,True,True,True,True,True,True,7992,7392.0,6770.0,19066,3682,1.0172817572478399,22.9266
1b_a2.0_c3_b0.1,1b,2.0,3,0.1,True,True,47.3,464522,454162,464522,493705,464522,454162,464522,468286.6,1412389,22.9607,25194,20583,11385,14342,46310,True,True,True,True,True,True,True,7962,8264.0,7327.199999999953,20109,3882,1.0172817572478399,22.9607
1b_a1.5_c3_b0.2,1b,1.5,3,0.2,True,True,55.6,461970,454162,461970,493952,461970,454162,461970,466804.8,1410084,22.2939,25194,20830,8833,14342,44005,True,True,True,True,True,True,True,7962,5712.0,5845.399999999965,17804,4129,1.0172817572478399,22.2939
