label,variant,ar1_alpha,log_clip,inv_beta,use_ar1,use_log,elapsed_s,F1_pnl,F2_pnl,F3_pnl,F4_pnl,F5_pnl,fold_min,fold_median,fold_mean,total_3day,sharpe_3day,max_dd_3day,dishes_day2,dishes_day3,dishes_day4,dishes_3day
1d_a1.5_b0.4,1d,1.5,0.0,0.4,True,False,43.7,461216,437488,461216,477752,461216,437488,461216,459777.6,1376456,22.67,25098,4630,8080,-2333,10377
1d_a2.0_b0.2,1d,2.0,0.0,0.2,True,False,49.2,460839,437250,460839,475389,460839,437250,460839,459031.2,1373478,23.7863,25194,2267,7702,-2571,7398
1d_a2.0_b0.1,1d,2.0,0.0,0.1,True,False,49.8,462167,437250,462167,476013,462167,437250,462167,459952.8,1375430,23.3399,25194,2891,9030,-2571,9350
1d_a1.5_b0.2,1d,1.5,0.0,0.2,True,False,45.4,461960,437206,461960,479156,461960,437206,461960,460448.4,1378323,21.7869,25194,6034,8824,-2614,12244
1d_a1.0_b0.2,1d,1.0,0.0,0.2,True,False,50.2,463304,437180,463304,479683,463304,437180,463304,461355.0,1380167,21.4606,25194,6561,10168,-2641,14088
1d_a1.5_b0.1,1d,1.5,0.0,0.1,True,False,50.5,461755,437116,461755,478570,461755,437116,461755,460190.2,1377442,22.022,25194,5448,8618,-2704,11362
1d_a2.5_b0.6,1d,2.5,0.0,0.6,True,False,25.5,459678,437010,459678,475047,459678,437010,459678,458218.2,1371734,23.8956,25198,1925,6541,-2811,5655
1d_a1.0_b0.6,1d,1.0,0.0,0.6,True,False,51.0,462091,437000,462091,478740,462091,437000,462091,460402.6,1377830,21.8578,25198,5618,8954,-2821,11751
1d_a0.5_b0.1,1d,0.5,0.0,0.1,True,False,54.5,463355,436914,463355,480760,463355,436914,463355,461547.8,1381030,20.8514,25194,7638,10218,-2906,14950
1d_a1.0_b0.1,1d,1.0,0.0,0.1,True,False,57.7,465214,436884,465214,481551,465214,436884,465214,462815.4,1383648,20.4073,25194,8429,12078,-2937,17570
1d_a0.5_b0.2,1d,0.5,0.0,0.2,True,False,50.1,464596,436844,464596,480736,464596,436844,464596,462273.6,1382176,20.7526,25194,7614,11460,-2977,16097
1d_a1.0_b0.4,1d,1.0,0.0,0.4,True,False,47.6,461155,436416,461155,477194,461155,436416,461155,459415.0,1374764,22.3067,25098,4072,8018,-3405,8685
1d_a0.5_b0.4,1d,0.5,0.0,0.4,True,False,48.3,462706,436408,462706,478822,462706,436408,462706,460669.6,1377936,21.4532,25098,5700,9570,-3413,11857
1d_a0.5_b0.6,1d,0.5,0.0,0.6,True,False,57.8,461119,436162,461119,477446,461119,436162,461119,459393.0,1374726,22.0393,25198,4324,7982,-3659,8647
1d_a2.0_b0.4,1d,2.0,0.0,0.4,True,False,44.1,460802,436154,460802,476030,460802,436154,460802,458918.0,1372986,22.7434,25098,2908,7666,-3667,6907
1d_a2.0_b0.6,1d,2.0,0.0,0.6,True,False,41.6,459372,435802,459372,477521,459372,435802,459372,458287.8,1372695,21.8744,25198,4399,6235,-4018,6616
