label,beta_overrides,F1_pnl,F2_pnl,F3_pnl,F4_pnl,F5_pnl,fold_min,fold_median,fold_mean,total_3day,sharpe_3day,max_dd_3day,elapsed_s,GALAXY_SOUNDS_BLACK_HOLES_3day,GALAXY_SOUNDS_BLACK_HOLES_d2,GALAXY_SOUNDS_BLACK_HOLES_d3,GALAXY_SOUNDS_BLACK_HOLES_d4,MICROCHIP_OVAL_3day,MICROCHIP_OVAL_d2,MICROCHIP_OVAL_d3,MICROCHIP_OVAL_d4,MICROCHIP_SQUARE_3day,MICROCHIP_SQUARE_d2,MICROCHIP_SQUARE_d3,MICROCHIP_SQUARE_d4,MICROCHIP_TRIANGLE_3day,MICROCHIP_TRIANGLE_d2,MICROCHIP_TRIANGLE_d3,MICROCHIP_TRIANGLE_d4,OXYGEN_SHAKE_CHOCOLATE_3day,OXYGEN_SHAKE_CHOCOLATE_d2,OXYGEN_SHAKE_CHOCOLATE_d3,OXYGEN_SHAKE_CHOCOLATE_d4,OXYGEN_SHAKE_EVENING_BREATH_3day,OXYGEN_SHAKE_EVENING_BREATH_d2,OXYGEN_SHAKE_EVENING_BREATH_d3,OXYGEN_SHAKE_EVENING_BREATH_d4,PANEL_1X4_3day,PANEL_1X4_d2,PANEL_1X4_d3,PANEL_1X4_d4,ROBOT_DISHES_3day,ROBOT_DISHES_d2,ROBOT_DISHES_d3,ROBOT_DISHES_d4,SLEEP_POD_POLYESTER_3day,SLEEP_POD_POLYESTER_d2,SLEEP_POD_POLYESTER_d3,SLEEP_POD_POLYESTER_d4,UV_VISOR_AMBER_3day,UV_VISOR_AMBER_d2,UV_VISOR_AMBER_d3,UV_VISOR_AMBER_d4
3b_SLEEP_POD_POLYESTER_b0.05,"{""SLEEP_POD_POLYESTER"": 0.05}",455360,447852,455360,491298,455360,447852,455360,461046.0,1394509,20.0171,24468,110.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39683,12444,15794,11445,,,,
3b_SLEEP_POD_POLYESTER_b0.1,"{""SLEEP_POD_POLYESTER"": 0.1}",455844,447368,455844,488821,455844,447368,455844,460744.2,1392032,21.1874,24468,109.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37206,9967,16278,10961,,,,
3b_SLEEP_POD_POLYESTER_b0.15,"{""SLEEP_POD_POLYESTER"": 0.15}",457138,447368,457138,489823,457138,447368,457138,461721.0,1394329,20.9035,24468,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39503,10969,17573,10961,,,,
3b_SLEEP_POD_POLYESTER_b0.2,"{""SLEEP_POD_POLYESTER"": 0.2}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37454,10969,16692,9793,,,,
3b_SLEEP_POD_POLYESTER_b0.3,"{""SLEEP_POD_POLYESTER"": 0.3}",458366,445868,458366,490404,458366,445868,458366,462274.0,1394638,20.2375,24766,68.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39813,11550,18801,9462,,,,
3b_SLEEP_POD_POLYESTER_b0.4,"{""SLEEP_POD_POLYESTER"": 0.4}",458010,447492,458010,492560,458010,447492,458010,462816.4,1398062,19.7652,24766,68.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43236,13706,18444,11086,,,,
3b_SLEEP_POD_POLYESTER_b0.6,"{""SLEEP_POD_POLYESTER"": 0.6}",457382,447460,457382,492741,457382,447460,457382,462469.4,1397582,19.5727,24766,60.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42757,13887,17816,11054,,,,
3b_UV_VISOR_AMBER_b0.05,"{""UV_VISOR_AMBER"": 0.05}",456428,446200,456428,489823,456428,446200,456428,461061.4,1392450,20.3449,24766,71.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16585,16157,1019,-591
3b_UV_VISOR_AMBER_b0.1,"{""UV_VISOR_AMBER"": 0.1}",456428,446200,456428,489823,456428,446200,456428,461061.4,1392450,20.3449,24766,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16585,16157,1019,-591
3b_UV_VISOR_AMBER_b0.15,"{""UV_VISOR_AMBER"": 0.15}",456428,446200,456428,489823,456428,446200,456428,461061.4,1392450,20.3449,24766,63.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16585,16157,1019,-591
3b_UV_VISOR_AMBER_b0.2,"{""UV_VISOR_AMBER"": 0.2}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16415,16157,849,-591
3b_UV_VISOR_AMBER_b0.3,"{""UV_VISOR_AMBER"": 0.3}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,70.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16415,16157,849,-591
3b_UV_VISOR_AMBER_b0.4,"{""UV_VISOR_AMBER"": 0.4}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,74.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16415,16157,849,-591
3b_UV_VISOR_AMBER_b0.6,"{""UV_VISOR_AMBER"": 0.6}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,84.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16415,16157,849,-591
3d_combined,"{""ROBOT_DISHES"": 0.05, ""OXYGEN_SHAKE_CHOCOLATE"": 0.1, ""MICROCHIP_OVAL"": 0.4, ""MICROCHIP_SQUARE"": 0.05, ""UV_VISOR_AMBER"": 0.05, ""SLEEP_POD_POLYESTER"": 0.05, ""OXYGEN_SHAKE_EVENING_BREATH"": 0.05, ""PANEL_1X4"": 0.05, ""GALAXY_SOUNDS_BLACK_HOLES"": 0.6}",456268,449084,456268,491356,456268,449084,456268,461848.8,1396708,20.5832,24426,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
